char,prc_default,tw_primary,tw_std_set
阚,han3,kan4,han3 kan4
阤,zhi4,tuo2,tuo2 yi3 zhi4
阿,a1,e1,a1 e1
隩,ao4,yu4,ao4 yu4
雌,ci2,ci1,ci1
雘,wo4,huo4,huo4
靡,mi2,mi3,mi2 mi3
靸,sa3,ta1,sa3 ta1
頁,ye4,xie2,xie2 ye4
頃,qing3,qing1,qing1 qing3
顫,chan4,zhan4,zhan4
页,ye4,xie2,xie2 ye4
顷,qing3,qing1,qing1 qing3
颇,po3,po1,po1 po3
颉,jie2,xie2,jie2 xie2
颏,ke1,hai2,hai2 ke1 ke2
颟,man1,man2,man1 man2
颤,chan4,zhan4,zhan4
飩,tun2,dun4,dun4
餔,bu4,bu1,bu1 bu4
餤,tan2,dan4,dan4 tan2
餳,tang2,xing2,tang2 xing2
餾,liu4,liu2,liu2
饎,chi4,xi1,xi1
饧,tang2,xing2,tang2 xing2
饨,tun2,dun4,dun4
驁,ao4,ao2,ao2
驯,xun4,xun2,xun2 xun4
骀,dai4,tai2,dai4 tai2
骜,ao4,ao2,ao2
骣,chan3,zhan4,chan3 zhan4
骯,ang1,kang3,ang1 kang3
鯖,zheng1,qing1,qing1 zheng1
鹄,gu3,hu2,gu3 hu2
鹽,yan2,yan4,yan2 yan4
麼,me5,mo2,ma2 ma5 me5 mo2
齦,ken3,yin2,ken3 yin2
齵,ou2,yu2,yu2
龈,ken3,yin2,ken3 yin2
𫉄,shu3,zhu1,shu3 zhu1
𫏐,zan4,zhan4,zan4 zhan4
𫗦,bu4,bu1,bu1 bu4
𬘭,lin2,chen1,chen1 lin2
