慈天宮,Chû thian kiong
造橋,Chō kiô
造橋鄉,Chō kiô hiong
自來水博物館,Chū lâi chúi Phok bu̍t koán
應,Eng
英文,Eng bûn
英語,Eng gí
英語,Eng gú
鶯歌,Eng ko
鶯歌石,Eng ko chio̍h
鶯歌區,Eng ko khu
英商,Eng siong
岳,Ga̍k
嶽,Ga̍k
樂,Ga̍k
月眉,Ge̍h bâi
玉,Gio̍k
玉井區,Gio̍k chéⁿ khu
玉皇大帝,Gio̍k hông tāi tè
玉里,Gio̍k lí
玉里鎮,Gio̍k lí tìn
玉山,Gio̍k san
玉山,Gio̍k soaⁿ
嚴,Giâm
閻,Giâm
閻君,Giâm kun
閻羅王,Giâm lô ông
閻王,Giâm ông
月美,Goa̍t bí
月津港,Goa̍t tin káng
月眉,Goe̍h bâi
玩石家博石館,Goán se̍k ka Phok se̍k koán
元,Goân
原,Goân
元掌,Goân chiáng
元掌,Goân chióng
元長鄉,Goân chióng hiong
源泉,Goân chôaⁿ
元宵,Goân siau
顏,Gân
倪,Gê
衙門口,Gê mn̂g kháu
宜蘭,Gî lân
宜蘭市,Gî lân chhī
宜蘭河,Gî lân hô
宜蘭縣,Gî lân koān
吳,Gô͘
梧棲區,Gô͘ chhe khu
牛,Gû
虞,Gû
牛罵頭,Gû má thâu
牛罵頭,Gû mâ thâu
牛郎,Gû nn̂g
義民廟,Gī bîn biō
義竹鄉,Gī tek hiong
外埔區,Gōa po͘ khu
外澳,Gōa ò
五叉水路,Gō͘ chhe chúi lō͘
五月節,Gō͘ ge̍h choeh
五月節,Gō͘ goe̍h cheh
五日節,Gō͘ ji̍t cheh
五間厝,Gō͘ keng chhù
五結鄉,Gō͘ kiat hiong
五股坑,Gō͘ kó͘ kheⁿ
五股坑,Gō͘ kó͘ khiⁿ
五股區,Gō͘ kó͘ khu
五日節,Gō͘ li̍t choeh
五城堡,Gō͘ siâⁿ pó
五塊厝,Gō͘ tè chhù
五堵,Gō͘ tó͘
魏,Gūi
蕃薯寮,Han chî liâu
蕃薯寮,Han chû liâu
學甲區,Ha̍k kah khu
合興,Ha̍p heng
興化廍,Heng hòa phō͘
香山,Hiong san
香山區,Hiong san khu
向天湖山,Hiòng thian ô͘ soaⁿ
花,Hoa
花蓮,Hoa lian
花蓮市,Hoa lian chhī
花蓮溪,Hoa lian khe
花蓮縣,Hoa lian koān
花蓮港,Hoa lian káng
花蓮,Hoa liân
花蓮市,Hoa liân chhī
花蓮溪,Hoa liân khe
花蓮縣,Hoa liân koān
花蓮港,Hoa liân káng
番路鄉,Hoan lō͘ hiong
番仔田,Hoan á chhân
番仔莊,Hoan á chng
番仔路,Hoan á lō͘
番仔挖,Hoan á oat
法文,Hoat bûn
花蓮,Hoe lian
花蓮市,Hoe lian chhī
花蓮溪,Hoe lian khe
花蓮縣,Hoe lian koān
花蓮港,Hoe lian káng
花壇,Hoe tôaⁿ
花壇鄉,Hoe tôaⁿ hiong
郝,Hok
霍,Hok
福興鄉,Hok heng hiong
福佑宮,Hok iū kiong
福隆,Hok liông
封,Hong
豐,Hong
酆,Hong
風,Hong
豐原,Hong goân
豐原區,Hong goân khu
豐富,Hong hù
風櫃,Hong kūi
芳苑鄉,Hong oán hiong
豐濱鄉,Hong pin hiong
豐坪溪,Hong pêⁿ khe
懷忠祠,Hoâi tiong sī
橫山,Hoâiⁿ soaⁿ
橫山鄉,Hoâiⁿ soaⁿ hiong
樊,Hoân
宦,Hoān
范,Hoān
范姜,Hoān Kiong
梵文,Hoān bûn
伏,Ho̍k
服,Ho̍k
復興區,Ho̍k heng khu
復興崗,Ho̍k heng kong
薰園,Hun hn̂g
芬園鄉,Hun hn̂g hiong
佛,Hu̍t
佛祖,Hu̍t chó͘
佛學,Hu̍t ha̍k
佛法,Hu̍t hoat
佛光緣臺北美術館,Hu̍t kong iân Tâi pak Bí su̍t koán
佛光山,Hu̍t kong san
佛教,Hu̍t kàu
佛典,Hu̍t tián
漢人,Hàn jîn
漢人,Hàn lîn
漢本,Hàn pún
哈馬星,Há má seng
海,Hái
海洋生物館,Hái  seng  koán
海協會,Hái hia̍p hōe
海洋生物館,Hái iûⁿ Seng bu̍t koán
海口,Hái kháu
海基會,Hái ki hōe
海關博物館,Hái koan Phok bu̍t koán
海墘營,Hái kîⁿ iâⁿ
海龍王,Hái lêng ông
海山,Hái san
海線,Hái sòaⁿ
海端,Hái toan
海端鄉,Hái toan hiong
樊,Hân
韓,Hân
韓戰,Hân chiàn
杭,Hâng
侯,Hâu
屏遮那,Hè sen ná
奚,Hê
回教,Hê kàu
和尚洲,Hê siūⁿ chiu
恆春鎮,Hêng chhun tìn
行天宮,Hêng thian kiong
魚,Hî
魚池鄉,Hî tî hiong
熊,Hîm
華,Hòa
火炎山,Hóe iām soaⁿ
火燒島,Hóe sio tó
火山巖,Hóe soaⁿ giâm
虎,Hó͘
虎尾鎮,Hó͘ bóe tìn
